1896	149.19
1897	210.42
1898	178.02
1899	129.24
1900	158.98
1901	134.24
1902	111.14
1903	182.10
1904	111.12
1905	221.12
1906	248.70
1907	219.17
1908	180.28
1909	227.21
1910	183.45
1911	230.36
1912	201.86
1913	188.17
1914	218.41
1915	244.16
1916	218.25
1917	276.83
1918	128.84
1919	190.89
1920	267.44
1921	168.51
1922	214.48
1923	165.18
1924	173.82
1925	154.04
1926	207.78
1927	200.54
1928	147.47
1929	211.98
1930	120.64
1931	117.59
1932	228.43
1933	105.43
1934	122.36
1935	180.63
1936	129.02
1937	220.01
1938	206.57
1939	156.07
1940	152.44
1941	324.56
1942	269.98
1943	161.80
1944	206.17
1945	180.76
1946	148.23
1947	145.05
1948	212.91
1949	219.46
1950	145.88
1951	81.38
1952	233.20
1953	119.99
1954	165.54
1955	137.26
1956	102.02
1957	199.04
1958	243.33
1959	92.44
1960	196.16
1961	200.31
1962	154.76
1963	155.65
1964	121.92
1965	186.44
1966	222.01
1967	140.62
1968	152.76
1969	187.30
1970	196.43
1971	107.22
1972	152.76
1973	373.49
1974	140.71
1975	250.32
1976	133.85
1977	48.91
1978	250.18
1979	318.06
1980	284.06
1981	160.93
1982	205.45
1983	268.48
1984	199.90
1985	297.50
1986	191.73
1987	192.91
1988	212.62
